feature,importance
char_cr,0.00037625288306933347
char_ ,0.00037586968254349284
char_but,0.0003754854061087394
char_ mi,0.0003753966846863301
char_all ,0.00037397505661232114
char_ile,0.0003734790577955637
char_lu,0.0003727736564912255
char_mp,0.00037272576457208264
char_ann,0.00037192705769579907
char_hei,0.0003715354812270309
char_up,0.0003710211910623773
char_chi,0.000370883975438078
char_king,0.0003706819279476609
one,0.0003691774689712168
char_app,0.00036917176820421054
char_.. ,0.00036869947184410237
char_i'v,0.00036839853492484154
"char_s,",0.00036825090225078047
char_igh,0.00036735967358683403
char_per,0.00036610760085592774
char_n't,0.00036520534450926667
char_ers ,0.0003650043551963216
char_oy,0.0003645452388370522
char_ di,0.0003642424015826468
char_ day,0.00036332736706675187
char_ayi,0.00036328241485080316
char_ight,0.00036282768584927584
char_cl,0.00036282213138727205
char_ te,0.00036277531668274467
char_ jo,0.00036263181360918136
char_iv,0.00036248430780252543
char_hing,0.0003623184441843911
char_'s,0.0003619512572058838
char_ck ,0.0003619472696556928
char_ @d,0.00036177138154047656
char_eg,0.0003616115814431727
char_ers,0.00036112848187076795
not,0.0003605136535599297
char_ bo,0.00035958150504185186
char_ik,0.00035949864054671347
char_ph,0.0003593339998917544
char_ati,0.0003590588871434644
char_ys,0.0003590566576824673
here,0.00035884977134055925
char_1 ,0.00035789194336671834
char_ but,0.00035787179414448975
char_oi,0.00035759285531765183
up,0.00035736212087240894
char_ how,0.00035722543362590344
char_ike ,0.0003571315189771112
char_we ,0.00035711577622459965
char_was ,0.000356866282649264
char_out ,0.0003562603591713974
char_ fa,0.00035606040584574834
char_ en,0.0003555916059583332
char_hey ,0.00035548855405961546
char_lik,0.00035458479489151304
char_@j,0.00035458329787684337
char_like,0.00035369161917423955
they,0.0003534506676335395
char_ht ,0.0003534082126352618
char_home,0.00035336280222675743
char_ple ,0.00035319917549503864
char_she ,0.00035195892231554255
char_ if,0.00035148938434619443
char_ was,0.00035102647245469293
char_ear,0.000350850664177071
char_end,0.00035041722487281417
char_ le,0.00034932928902648124
char_ood,0.0003483527064882034
char_ini,0.0003478777996528837
char_us ,0.0003475981349578818
char_say,0.0003475624827287941
char_kin,0.00034715873526061246
char_eas,0.0003469025248463647
char_yin,0.0003448569344286555
char_lt,0.0003447665626196263
char_tw,0.0003442426172051541
"char_t, ",0.0003429877005357779
char_ not,0.0003424778532786294
here https,0.0003422313336412834
char_don',0.00034193800253682445
char_lay ,0.0003418394474300169
char_ she,0.0003416509722413481
char_can ,0.0003416420880669158
this,0.0003411729946235124
char_ @n,0.00034091194281225785
char_ter ,0.00034049473930881165
char_hey,0.00034022423653535714
char_ he ,0.00034003677290008025
char_ame ,0.00033925071969614
char_con,0.0003391060188788259
char_n. ,0.00033879244461746267
char_ese ,0.00033820285681392364
char_when,0.00033803459877176434
char_uck,0.00033764264892090836
char_fan,0.0003375669121406965
char_ent ,0.00033754813743377027
char_whe,0.00033705229649229443
char_mor,0.0003360184562492362
char_ran,0.0003358020053178247
char_ee ,0.0003350054864872895
char_wel,0.00033440423707124627
char_t's,0.00033350801997830324
char_ su,0.0003333598765380727
char_ù_,0.0003329575094378663
char_ lit,0.00033292154543850677
char_ fu,0.0003328109932090434
char_ilo,0.0003322726109537101
char_oa,0.00033206946310270847
char_ack,0.00033204741955512895
char_af,0.0003308131904345811
char_) ,0.00033074395508498147
char_pu,0.00033065963841421594
char_ at ,0.00033065205232947264
char_ant ,0.0003306342632625953
char_ust ,0.000330252162757574
char_oth,0.0003301689053113291
are,0.0003297271453017641
char_ tra,0.0003296411764154021
char_ton,0.0003294379006472935
char_oc,0.00032905963207878697
char_rn,0.0003288682481284179
char_com,0.00032883438965743356
char_ br,0.0003283808755166008
char_eet,0.00032802115888166277
char_ som,0.0003274460978817946
as,0.0003263933486527851
char_not ,0.0003252328867499256
char_ugh,0.00032521161418562976
in the,0.00032500439335320395
char_kn,0.0003247774332774454
char_b ,0.00032476557797134794
char_ @b,0.0003244347907433687
char_eam,0.000323405243440924
char_ are,0.0003231010393427128
char__ü,0.0003222480939204267
char_ got,0.00032201204433078106
char_wee,0.000321730573559336
char_pro,0.0003217278533251116
of the,0.00032076900837972567
char_um,0.0003206830840716901
char_aw,0.0003203527115050741
char_ kn,0.00031966804022493856
char_? ,0.0003195238338381787
char_do ,0.0003194170572586865
char_n.,0.00031885536785641357
char_real,0.00031881374362716206
"char_s, ",0.00031880278178257723
char_nde,0.0003186699820357262
char_ite,0.0003185542222261571
char_now ,0.00031770385297023315
char_ain,0.00031700780865751157
char_rin,0.0003163886576126698
char_ lov,0.00031538388920012794
char_ote,0.00031516636158344745
char_uld ,0.0003145560246518984
don,0.00031443068977193503
char_ wil,0.00031431396577249527
char_ive,0.00031385468726424293
char_oe,0.0003138386731756568
go,0.0003130299710086394
char_ at,0.0003128053087017274
char_ze,0.00031261148881632175
char_how,0.0003125401174458446
char_it',0.00031164572187107647
char_n',0.0003111111477944858
char_ost,0.0003110911371188798
char_bes,0.0003109344697456045
char_tion,0.0003103804106039614
char_foll,0.00031037977453362344
char_ü ,0.00031022273260009016
char_nly,0.00031015701856633546
char_ind,0.0003092718930731394
char_men,0.0003087623562913035
char_tra,0.00030873139516307416
char_ @a,0.00030871867265411663
char_its,0.00030836853845559755
char_they,0.00030830913087262274
char_ sc,0.0003082502997793097
char_has,0.0003075361386948835
char_ by ,0.0003073968798920158
out,0.0003070780476979863
char_ead,0.00030705257665320304
char_ @j,0.0003068452190498368
char_peo,0.0003068422286225787
char_nk ,0.00030604729519010266
char_par,0.0003057635366347617
char_ui,0.0003056899352162194
char_ peo,0.00030530897310313926
char_best,0.00030502900438095454
char_gre,0.00030480973481390305
char_yl,0.0003048057435542641
char_what,0.0003043916913602238
char_va,0.00030426190561265584
char_let,0.00030383682934924746
would,0.0003033494850441132
char_@c,0.00030306706783053136
char_oll,0.0003026224764641674
char_ ab,0.0003024894841259214
char_ink,0.00030206123774398206
char_ib,0.00030181043174472316
char_time,0.00030152180265324434
char_ople,0.00030136379143419495
char_nin,0.00030125510552342876
char_ ,0.00030079542975076495
char_ i'v,0.00030070695456509513
char_ ce,0.00030049571712619275
char_est ,0.00030019865605505604
char_@m,0.0002998544882555467
for the,0.0002994714194764235
char_ny,0.00029938769653166874
char_ up ,0.00029927205059769363
char_have,0.00029913855988529287
char_ue,0.0002986075085753638
char_har,0.00029785160676872144
char_pp,0.0002971338360788278
char_2 ,0.00029694557966502557
char_it's,0.00029612267004647795
char_sed ,0.00029607959868095375
char_de ,0.00029556610032087865
